Timestamp,language,problem
10/08/2023 21:35:34,Python,Reverse
10/08/2023 21:35:35,C,Tideman
10/08/2023 21:35:35,C,DNA
10/08/2023 21:35:36,Python,Cash
10/08/2023 21:35:36,Python,Mario
10/08/2023 21:35:37,Scratch,Filter
10/08/2023 21:35:38,Python,Cash
10/08/2023 21:35:38,Python,Scratch
10/08/2023 21:35:38,Python,Recover
10/08/2023 21:35:38,Scratch,DNA
10/08/2023 21:35:39,C,Filter
10/08/2023 21:35:39,Python,Speller
10/08/2023 21:35:39,Python,Tideman
10/08/2023 21:35:40,C,Speller
10/08/2023 21:35:41,Scratch,Plurality
10/08/2023 21:35:41,C,Mario
10/08/2023 21:35:42,Python,Filter
10/08/2023 21:35:43,Python,Filter
10/08/2023 21:35:43,Scratch,Tideman
10/08/2023 21:35:43,Python,Wordle50
10/08/2023 21:35:43,Python,Wordle50
10/08/2023 21:35:44,Python,Mario
10/08/2023 21:35:44,C,Caesar
10/08/2023 21:35:44,Python,Filter
10/08/2023 21:35:45,Python,DNA
10/08/2023 21:35:45,Python,Speller
10/08/2023 21:35:45,Scratch,Hello
10/08/2023 21:35:46,Python,Cash
10/08/2023 21:35:46,Python,Caesar
10/08/2023 21:35:47,C,Wordle50
10/08/2023 21:35:47,C,Filter
10/08/2023 21:35:47,C,DNA
10/08/2023 21:35:48,Python,Bubls
10/08/2023 21:35:49,Scratch,Wordle50
10/08/2023 21:35:49,Python,DNA
10/08/2023 21:35:49,Python,Mario
10/08/2023 21:35:50,Python,Tideman
10/08/2023 21:35:51,Python,Mario
10/08/2023 21:35:52,Scratch,Speller
10/08/2023 21:35:53,Python,Tideman
10/08/2023 21:35:53,Python,Filter
10/08/2023 21:35:54,Python,Speller
10/08/2023 21:35:54,C,Cash
10/08/2023 21:35:55,C,Caesar
10/08/2023 21:35:55,Scratch,Tideman
10/08/2023 21:35:55,C,Scratch
10/08/2023 21:35:55,Python,Tideman
10/08/2023 21:35:56,Scratch,DNA
10/08/2023 21:35:56,C,Hello
10/08/2023 21:35:57,Python,Caesar
10/08/2023 21:35:58,Python,Filter
10/08/2023 21:35:59,Python,Substitution
10/08/2023 21:36:00,Python,DNA
10/08/2023 21:36:00,Python,Caesar
10/08/2023 21:36:01,C,Caesar
10/08/2023 21:36:01,Python,Speller
10/08/2023 21:36:02,Python,Recover
10/08/2023 21:36:02,Scratch,Speller
10/08/2023 21:36:03,Python,Scratch
10/08/2023 21:36:04,Python,DNA
10/08/2023 21:36:05,Scratch,Filter
10/08/2023 21:36:06,Python,DNA
10/08/2023 21:36:06,Python,Mario
10/08/2023 21:36:07,Scratch,Scratch
10/08/2023 21:36:08,C,Readability
10/08/2023 21:36:08,Python,Cash
10/08/2023 21:36:09,C,Substitution
10/08/2023 21:36:10,Python,Reverse
10/08/2023 21:36:10,C,Caesar
10/08/2023 21:36:10,Python,Tideman
10/08/2023 21:36:10,Python,Reverse
10/08/2023 21:36:11,C,Plurality
10/08/2023 21:36:12,Scratch,Hello
10/08/2023 21:36:13,Python,Wordle50
10/08/2023 21:36:13,C,Hello
10/08/2023 21:36:14,C,Filter
10/08/2023 21:36:15,C,Wordle50
10/08/2023 21:36:15,Python,Hello
10/08/2023 21:36:15,Python,Credit
10/08/2023 21:36:16,Python,Bubls
10/08/2023 21:36:16,C,Substitution
10/08/2023 21:36:17,Python,Filter
10/08/2023 21:36:17,Python,Hello
10/08/2023 21:36:18,Scratch,Cash
10/08/2023 21:36:18,Python,Mario
10/08/2023 21:36:18,Python,Recover
10/08/2023 21:36:19,Python,Scratch
10/08/2023 21:36:20,Scratch,DNA
10/08/2023 21:36:20,Python,Tideman
10/08/2023 21:36:21,C,Cash
10/08/2023 21:36:22,Python,Mario
10/08/2023 21:36:22,Python,Readability
10/08/2023 21:36:23,Python,Readability
10/08/2023 21:36:23,C,Tideman
10/08/2023 21:36:24,Scratch,Readability
10/08/2023 21:36:25,C,Mario
10/08/2023 21:36:25,Python,Bubls
10/08/2023 21:36:26,Python,Scratch
10/08/2023 21:36:26,Python,Readability
10/08/2023 21:36:27,Python,Speller
10/08/2023 21:36:28,Python,Filter
10/08/2023 21:36:29,Scratch,Mario
10/08/2023 21:36:29,Python,Scratch
10/08/2023 21:36:30,C,Speller
10/08/2023 21:36:30,Python,Reverse
10/08/2023 21:36:30,Python,Filter
10/08/2023 21:36:31,C,Tideman
10/08/2023 21:36:31,Python,Filter
10/08/2023 21:36:31,Python,Scratch
10/08/2023 21:36:32,C,Hello
10/08/2023 21:36:32,Python,Tideman
10/08/2023 21:36:33,Python,Readability
10/08/2023 21:36:33,C,Hello
10/08/2023 21:36:33,Python,DNA
10/08/2023 21:36:34,Python,Runoff
10/08/2023 21:36:34,Python,DNA
10/08/2023 21:36:35,Python,Speller
10/08/2023 21:36:36,C,Substitution
10/08/2023 21:36:36,Python,DNA
10/08/2023 21:36:37,Python,Mario
10/08/2023 21:36:37,Python,Cash
10/08/2023 21:36:38,Python,Speller
10/08/2023 21:36:38,Scratch,Credit
10/08/2023 21:36:39,Python,Substitution
10/08/2023 21:36:39,C,Mario
10/08/2023 21:36:40,Python,Scratch
10/08/2023 21:36:40,Python,Speller
10/08/2023 21:36:41,Python,Reverse
10/08/2023 21:36:41,C,Scratch
10/08/2023 21:36:42,Scratch,Mario
10/08/2023 21:36:42,Python,Filter
10/08/2023 21:36:43,Python,Readability
10/08/2023 21:36:43,Python,Hello
10/08/2023 21:36:44,Python,Speller
10/08/2023 21:36:44,Python,Hello
10/08/2023 21:36:44,C,Credit
10/08/2023 21:36:45,Python,Reverse
10/08/2023 21:36:46,Python,Wordle50
10/08/2023 21:36:47,Python,Filter
10/08/2023 21:36:47,Python,DNA
10/08/2023 21:36:48,Python,Bubls
10/08/2023 21:36:49,Python,Filter
10/08/2023 21:36:50,Python,DNA
10/08/2023 21:36:50,Python,Mario
10/08/2023 21:36:51,Python,Speller
10/08/2023 21:36:51,Python,Scratch
10/08/2023 21:36:52,Python,Runoff
10/08/2023 21:36:53,Python,Scratch
10/08/2023 21:36:54,Python,Filter
10/08/2023 21:36:54,Python,Tideman
10/08/2023 21:36:55,Python,Substitution
10/08/2023 21:36:56,C,DNA
10/08/2023 21:36:56,Scratch,Speller
10/08/2023 21:36:57,Scratch,Caesar
10/08/2023 21:36:57,Python,Substitution
10/08/2023 21:36:58,C,Speller
10/08/2023 21:36:58,Python,Scratch
10/08/2023 21:36:58,Scratch,Speller
10/08/2023 21:36:59,C,Hello
10/08/2023 21:37:00,C,Hello
10/08/2023 21:37:00,Scratch,Bubls
10/08/2023 21:37:01,Python,Tideman
10/08/2023 21:37:01,C,Scratch
10/08/2023 21:37:02,Python,Caesar
10/08/2023 21:37:03,Scratch,Speller
10/08/2023 21:37:03,Python,Readability
10/08/2023 21:37:04,Python,DNA
10/08/2023 21:37:05,Python,Readability
10/08/2023 21:37:05,C,Speller
10/08/2023 21:37:06,Python,Mario
10/08/2023 21:37:07,Python,Tideman
10/08/2023 21:37:07,Python,Bubls
10/08/2023 21:37:08,Scratch,Substitution
10/08/2023 21:37:09,C,Wordle50
10/08/2023 21:37:09,C,Plurality
10/08/2023 21:37:10,Scratch,Readability
10/08/2023 21:37:10,Python,Scratch
10/08/2023 21:37:11,C,Filter
10/08/2023 21:37:11,Python,Readability
10/08/2023 21:37:12,C,Credit
10/08/2023 21:37:12,Scratch,Mario
10/08/2023 21:37:13,C,DNA
10/08/2023 21:37:13,Python,Filter
10/08/2023 21:37:14,Scratch,Mario
10/08/2023 21:37:15,Python,Scratch
10/08/2023 21:37:15,Python,Wordle50
10/08/2023 21:37:15,C,Wordle50
10/08/2023 21:37:16,Scratch,Mario
10/08/2023 21:37:16,Python,Tideman
10/08/2023 21:37:17,C,Filter
10/08/2023 21:37:18,Python,Cash
10/08/2023 21:37:18,C,Credit
10/08/2023 21:37:19,Python,Filter
10/08/2023 21:37:19,Python,Scratch
10/08/2023 21:37:20,Python,DNA
10/08/2023 21:37:20,Python,Tideman
10/08/2023 21:37:20,Python,Bubls
10/08/2023 21:37:21,Scratch,Mario
10/08/2023 21:37:21,C,Hello
10/08/2023 21:37:22,Python,Caesar
10/08/2023 21:37:22,Python,Readability
10/08/2023 21:37:23,Scratch,DNA
10/08/2023 21:37:24,Python,Credit
10/08/2023 21:37:24,C,Caesar
10/08/2023 21:37:25,C,Reverse
10/08/2023 21:37:25,C,Tideman
10/08/2023 21:37:26,Scratch,Speller
10/08/2023 21:37:26,C,Filter
10/08/2023 21:37:27,Scratch,Substitution
10/08/2023 21:37:28,C,Wordle50
10/08/2023 21:37:28,Python,DNA
10/08/2023 21:37:28,Python,Mario
10/08/2023 21:37:29,Python,Filter
10/08/2023 21:37:29,Python,Scratch
10/08/2023 21:37:29,Scratch,Substitution
10/08/2023 21:37:30,Python,DNA
10/08/2023 21:37:31,Python,Tideman
10/08/2023 21:37:31,C,DNA
10/08/2023 21:37:32,Scratch,Tideman
10/08/2023 21:37:33,Python,Tideman
10/08/2023 21:37:33,Python,Speller
10/08/2023 21:37:34,Python,Mario
10/08/2023 21:37:34,C,Hello
10/08/2023 21:37:35,Python,Filter
10/08/2023 21:37:35,Scratch,Recover
10/08/2023 21:37:36,Python,Tideman
10/08/2023 21:37:37,Python,Hello
10/08/2023 21:37:38,Python,Tideman
10/08/2023 21:37:38,Python,Reverse
10/08/2023 21:37:38,Python,DNA
10/08/2023 21:37:38,C,Caesar
10/08/2023 21:37:39,Python,Plurality
10/08/2023 21:37:40,Scratch,DNA
10/08/2023 21:37:40,Python,Tideman
10/08/2023 21:37:41,Python,Recover
10/08/2023 21:37:41,C,Readability
10/08/2023 21:37:42,Python,Scratch
